
NO	제목	날짜	조회수
603	시스템 개선 및 서비스 점검 안내	2025-10-20	301
602	개인정보처리방침 개정 안내	2025-09-18	1080
601	홈페이지 이용약관 및 스타벅스 카드 이용약관 개정 안내	2025-09-17	1320
600	시스템 개선 및 서비스 점검 안내	2025-09-15	1073
599	카카오뱅크 서비스 점검 안내	2025-09-12	905
598	사이렌 오더 서비스 구버전 지원 종료 안내	2025-09-10	8925
597	시스템 개선 및 서비스 점검 안내	2025-09-05	1169
596	시스템 개선 및 서비스 점검 안내	2025-08-26	1635
595	계좌 결제 기능 일시 중단 안내	2025-08-22	8643
594	반려동물 사료 즉석조리 판매 서비스	2025-08-20	16705

593	개인정보처리방침 개정 안내	2025-08-20	945
592	홈페이지 이용약관 개정 안내	2025-08-19	1252
591	Buddy Pass 서비스 이용 개정 안내	2025-08-12	2171
590	시스템 개선 및 서비스 점검 안내	2025-08-06	1214
589	시스템 개선 및 서비스 점검 안내	2025-07-18	1848
588	SSGPAY 계좌결제 서비스 점검 안내	2025-07-16	2653
587	시스템 개선 및 서비스 점검 안내	2025-07-09	2510
586	[신세계 유니버스클럽] 멤버십 혜택 변경 안내	2025-06-30	14572
585	스타벅스 홈페이지 ‘My 캘린더’ 서비스 종료 및 그에 따른 홈페이지 이용약관 개정 안내	2025-06-30	2892
584	개인정보처리방침 개정 안내	2025-06-23	1527

583	개인정보처리방침 개정 안내	2025-05-30	1374
582	위치정보 이용약관 / 스타벅스 카드 이용약관 개정 안내	2025-05-29	3111
581	홈페이지 이용약관 및 스타벅스 카드 이용약관 개정 안내 (스타벅스 리워드 프로그램 변경)	2025-05-08	24236
580	홈페이지 이용약관(SSGPAY 결제 수단 추가) 변경 안내	2025-05-08	4062
579	스타벅스 카드 결제수단 추가 안내	2025-05-08	12576
578	SK텔레콤 USIM 정보 유출 관련 고객 보안사항 안내	2025-04-30	21370
577	시스템 개선 및 서비스 점검 안내	2025-04-25	1210
576	서울평가정보 시스템 점검으로 인한 본인인증 서비스 일시 중단 안내	2025-04-24	1348
575	Buddy Pass 서비스 이용 개정 안내	2025-04-10	5313
574	딜리버스 예약 서비스 중단 안내	2025-04-04	8539

573	시스템 개선 및 서비스 점검 안내	2025-04-02	2280
572	홈페이지 이용약관 및 스타벅스 카드 이용약관 개정 안내	2025-03-25	2598
571	사이렌 오더/딜리버스 음료 기본 설정 변경 안내 (HOT → ICED)	2025-03-25	12742
570	개인정보처리방침 개정 안내	2025-03-24	998
569	시스템 개선 및 서비스 점검 안내	2025-03-21	1147
568	시스템 개선 및 서비스 점검 안내	2025-03-17	1134
567	시스템 개선 및 서비스 점검 안내	2025-03-05	1781
566	스타벅스 카드 온라인 재충전 / 모바일 카드 구매 가능 금액 안내	2025-02-28	21339
565	스타벅스 카드 이용약관 개정 안내	2025-02-28	2858
564	시스템 개선 및 서비스 점검 안내	2025-02-24	1645
